codigo;dist_centro;nome;longitude;latitude;peso;dist_cap
3526605;56,3241;Lavrinhas;44,902222;-22,570833;2800;208
3526704;39,238612;Leme;47,390278;-22,185556;1800;170
3526803;79,500235;Lençóis Paulista;48,800278;-22,598611;388;245
3526902;51,571509;Limeira;47,401667;-22,564722;1087;134
3527009;48,974597;Lindóia;46,65;-22,523056;400;113
3527108;19,800315;Lins;49,7425;-21,678611;4328;381
3527207;41,790632;Lorena;45,124722;-22,730833;12350;179
3527256;38,169823;Lourdes;50,224167;-20,966944;770;467
3527306;23,065931;Louveira;46,950556;-23,086389;65;60
3527405;49,861557;Lucélia;51,018889;-21,720278;3000;494
3527504;28,121037;Lucianópolis;49,5225;-22,431111;240;321
3527603;51,825515;Luís Antônio;47,704444;-21,555;40;246
3527702;50,871676;Luiziânia;50,326667;-21,675833;1105;432
3527801;37,769094;Lupércio;49,817222;-22,415;240;349
3527900;11,655079;Lutécia;50,392222;-22,34;4003;408
3528007;65,599212;Macatuba;48,711389;-22,502222;126;242
3528106;44,828734;Macaubal;49,963889;-20,805833;4380;458
3528205;16,28445;Macedônia;50,194444;-20,145833;5830;526
3528304;14,002093;Magda;50,226111;-20,643889;2500;491
3528403;33,485629;Mairinque;47,183333;-23,545833;670;56
3528502;41,038686;Mairiporã;46,586667;-23,318611;22;26
3528601;22,092396;Manduri;49,321944;-23,003333;3700;281
3528700;21,253849;Marabá Paulista;51,9625;-22,108056;5610;570
3528809;51,275774;Maracaí;50,667222;-22,610556;500;426
3528858;62,40645;Marapoama;49,128889;-21,259167;360;361
3528908;38,604691;Mariápolis;51,181389;-21,798889;1370;506
3529005;29,835622;Marília;49,945833;-22,213889;2000;370
3529104;6,9136075;Marinópolis;50,823056;-20,440556;955;553
3529203;0;Martinópolis;51,170833;-22,145833;12000;491
3529302;43,362484;Matão;48,365833;-21,603333;1600;279
3529401;80,043535;Mauá;46,461389;-23,667778;0;22
3529500;16,878542;Mendonça;49,580833;-21,166667;1515;402
3529609;11,321147;Meridiano;50,173333;-20,359167;3620;508
3529658;51,69567;Mesópolis;50,638056;-19,966389;3994;573
3529708;33,808269;Miguelópolis;48,031944;-20,179444;2000;400
3529807;78,83745;Mineiros do Tietê;48,450556;-22,409444;560;225
3529906;0;Miracatu;47,459722;-24,281389;2000;117
3530003;35,729787;Mira Estrela;50,137222;-19,979444;3687;536
3530102;0;Mirandópolis;51,101667;-21,133611;9120;532
3530201;0;Mirante do Paranapanema;51,906389;-22,291944;5710;558
3530300;25,243289;Mirassol;49,521111;-20,819167;3320;424
3530409;19,317649;Mirassolândia;49,463889;-20,616667;3000;436
3530508;37,688398;Mococa;47,004722;-21,467778;9000;233
3530607;85,041571;Moji das Cruzes;46,188333;-23,522778;530;46
3530706;60,557408;Mogi Guaçu;46,942222;-22,372222;1300;134
3530805;53,729348;Moji-Mirim;46,957778;-22,431944;1600;128
3530904;46,198175;Mombuca;47,566111;-22,929167;360;117
3531001;35,870748;Monções;50,091667;-20,850278;750;465
3531100;38,653716;Mongaguá;46,620833;-24,093056;0;60
3531209;33,235858;Monte Alegre do Sul;46,680833;-22,681944;650;96
3531308;34,711551;Monte Alto;48,496389;-21,261111;1500;317
3531407;17,602445;Monte Aprazível;49,714167;-20,7725;9100;442
3531506;17,495099;Monte Azul Paulista;48,641389;-20,907222;950;358
3531605;9,0857116;Monte Castelo;51,568611;-21,299444;3300;566
3531704;30,139242;Monteiro Lobato;45,839722;-22,956667;1150;105
3531803;26,519461;Monte Mor;47,315833;-22,946667;5850;96
3531902;52,266239;Morro Agudo;48,057778;-20,731389;1200;345
3532009;26,80579;Morungaba;46,791667;-22,88;790;76
3532058;59,301605;Motuca;48,151111;-21,508056;350;274
3532108;24,010864;Murutinga do Sul;51,2775;-20,993333;2790;556
3532157;53,237548;Nantes;51,236944;-22,620556;2000;482
3532207;46,581945;Narandiba;51,524444;-22,407222;3000;517
3532306;40,527936;Natividade da Serra;45,441944;-23,375556;3958;123
3532405;29,594415;Nazaré Paulista;46,395;-23,181111;3000;47
3532504;24,522438;Neves Paulista;49,629722;-20,846111;3670;430
3532603;33,917559;Nhandeara;50,038333;-20,694167;10665;472
3532702;34,605107;Nipoã;49,777778;-20,913333;2140;436
3532801;20,374191;Nova Aliança;49,496111;-21,015833;1900;407
3532827;37,318875;Nova Campina;48,903611;-24,120833;98;240
3532843;19,811527;Nova Canaã Paulista;50,949167;-20,385833;1150;567
3532868;12,889369;Nova Castilho;50,343056;-20,763056;3200;491
3532900;29,585317;Nova Europa;48,560833;-21,778333;450;278
3533007;36,368468;Nova Granada;49,314167;-20,533889;15313;433
3533106;9,2004189;Nova Guataporanga;51,643889;-21,334444;700;571
3533205;31,945276;Nova Independência;51,49;-21,103889;1400;569
3533254;61,505007;Novais;48,918611;-20,992222;215;368
3533304;25,295814;Nova Luzitânia;50,261667;-20,856111;1630;478
3533403;27,984298;Nova Odessa;47,295833;-22,7775;615;109
3533502;0;Novo Horizonte;49,220833;-21,468056;3320;352
3533601;23,384259;Nuporanga;47,730556;-20,730833;3812;332
3533700;37,386994;Ocauçu;49,922778;-22,438889;793;359
3533809;28,380202;Óleo;49,341944;-22,941389;2100;285
3533908;77,412901;Olímpia;48,914722;-20,737222;2004;390
3534005;36,958468;Onda Verde;49,295278;-20,6;1527;426
3534104;26,906711;Oriente;50,090833;-22,152778;250;387
3534203;17,165802;Orindiúva;49,351389;-20,182222;1359;467
3534302;36,671816;Orlândia;47,886667;-20,720278;600;339
3534401;59,787631;Osasco;46,791667;-23,5325;0;16
3534500;0;Oscar Bressane;50,281389;-22,318333;5501;398
3534609;49,16116;Osvaldo Cruz;50,878611;-21,796667;750;477
3534708;29,0749;Ourinhos;49,870556;-22,978889;1120;337
3534757;34,143781;Ouroeste;50,372222;-20,000556;3940;551
3534807;18,043539;Ouro Verde;51,700278;-21,489444;1950;569
3534906;37,88639;Pacaembu;51,260556;-21,562222;2020;524
3535002;34,614647;Palestina;49,433056;-20,39;11030;454
3535101;61,062991;Palmares Paulista;48,800833;-21,083056;115;352
